fips,count,avgScore
13205,44,0.23
13207,102,0.28
13209,15,0.45
13211,83,0.36
13213,72,0.32
13215,900,0.2
13217,537,0.17
13219,395,0.32
13221,38,0.2
13223,739,0.22
13225,147,0.11
13227,100,0.38
13229,81,0.41
13231,67,0.33
13233,152,0.31
13235,24,0.32
13237,69,0.3
13239,1,0.41
13241,49,0.31
13243,13,0.32
13245,917,0.17
13247,479,0.02
13249,13,0.32
13251,26,0.29
13253,13,0.27
13255,215,0.21
13257,78,0.28
13259,9,0.14
13261,87,0.15
13263,7,0.3
13265,3,-0.07
13267,60,0.33
13269,24,0.34
13271,30,0.14
13273,8,0.12
13275,166,0.29
13277,150,0.28
13279,60,0.34
13281,31,0.3
13283,7,0.19
13285,272,0.25
13287,16,0.32
13289,17,0.28
13291,67,0.29
13293,71,0.27
13295,228,0.32
13297,231,0.29
13299,149,0.18
13301,12,0.3
13303,52,0.15
13305,75,0.24
13307,4,0.43
13309,5,0.18
13311,134,0.34
13313,373,0.28
13315,16,0.24
13317,35,0.22
13319,27,0.1
13321,37,0.16
15001,600,0.18
15003,3941,0.22
15005,2,0.3
15007,220,0.23
15009,587,0.25
16001,4629,0.28
16003,8,0.32
16005,1162,0.29
16007,13,0.33
16009,19,0.23
16011,187,0.28
16013,247,0.26
16015,32,0.32
16017,236,0.27
16019,624,0.29
16021,18,0.38
16023,8,0.4
16025,3,0.56
16027,987,0.24
16029,19,0.42
16031,101,0.36
16033,1,0.53
16035,19,0.34
16037,15,0.42
16039,137,0.29
16041,59,0.3
16043,44,0.39
16045,49,0.22
16047,37,0.34
16049,17,0.45
16051,96,0.35
16053,45,0.27
16055,659,0.3
16057,626,0.23
16059,20,0.16
16061,13,0.62
16063,15,0.42
16065,905,0.3
16067,91,0.23
16069,147,0.33
16071,12,0.39
16073,39,0.28
16075,42,0.33
16077,46,0.23
16079,25,0.2
16081,58,0.29
16083,373,0.29
16085,51,0.19
16087,21,0.19
17001,327,0.35
17003,10,0.01
17005,116,0.29
17007,431,0.35
17009,13,0.59
17011,120,0.32
17013,11,0.33
17015,60,0.45
17017,60,0.32
17019,3178,0.24
17021,117,0.37
17023,43,0.26
17025,20,0.49
17027,241,0.38
17029,255,0.25
17031,58051,0.23
17033,57,0.25
17035,18,0.26
17037,1085,0.28
17039,54,0.36
17041,65,0.38
17043,11312,0.31
17045,57,0.25
17047,12,0.24
17049,135,0.38
17051,48,0.36
17053,75,0.36
17055,125,0.37
17057,143,0.32
17059,5,0.12
17061,35,0.36
17063,381,0.37
17065,20,0.36
17067,50,0.45
17069,3,0.54
17071,23,0.36
17073,245,0.31
17075,91,0.36
17077,301,0.29
17079,23,0.39
17081,153,0.31
17083,156,0.32
17085,116,0.43
17087,22,0.23
17089,3945,0.3
17091,563,0.32
17093,879,0.3
17095,321,0.29
17097,8196,0.31
17099,462,0.34
17101,33,0.31
17103,138,0.35
17105,100,0.35
17107,169,0.33
17109,333,0.27
17111,3388,0.34
17113,2374,0.3
17115,571,0.26
17117,212,0.34
17119,2988,0.3
17121,98,0.37
17123,25,0.22
17125,56,0.37
17127,31,0.31
17129,99,0.4
17131,59,0.38
17133,225,0.39
17135,122,0.33
17137,195,0.31
17139,42,0.37
17141,310,0.33
17143,1418,0.28
17145,51,0.4
17147,101,0.32
17149,46,0.36
17151,3,0.37
17153,13,0.41
17155,22,0.34
17157,87,0.37
17159,26,0.33
17161,690,0.26
17163,1674,0.23
17165,47,0.4
17167,2578,0.31
17169,24,0.36
17171,23,0.35
17173,138,0.41
17175,48,0.25
17177,284,0.3
17179,640,0.39
17181,39,0.28
17183,301,0.25
17185,34,0.21
17187,63,0.34
17189,37,0.29
17191,84,0.31
17193,33,0.33
17195,223,0.33
17197,5433,0.3
17199,170,0.32
17201,2429,0.32
17203,324,0.36
18001,96,0.41
18003,3025,0.28
18005,779,0.33
18007,42,0.32
18009,24,0.28
18011,957,0.32
18013,71,0.33
18015,69,0.38
18017,123,0.27
18019,879,0.29
18021,67,0.38
18023,125,0.37
18025,35,0.25
18027,131,0.38
18029,262,0.34
18031,85,0.38
18033,142,0.38
18035,1632,0.27
18037,228,0.3
18039,995,0.29
18041,63,0.2
18043,620,0.27
18045,64,0.36
18047,67,0.35
18049,42,0.45
18051,108,0.42
18053,382,0.27
18055,93,0.42
18057,5187,0.31
18059,820,0.33
18061,195,0.35
18063,2181,0.3
18065,177,0.31
18067,519,0.3
18069,253,0.31
18071,178,0.33
18073,110,0.38
18075,54,0.37
18077,140,0.3
18079,72,0.37
18081,1843,0.36
18083,85,0.42
18085,359,0.3
18087,110,0.34
18089,2519,0.24
18091,425,0.29
18093,187,0.35
18095,792,0.33
18097,13502,0.22
18099,227,0.29
18101,40,0.33
18103,140,0.33
18105,3642,0.26
18107,226,0.33
18109,424,0.38
18111,45,0.46
18113,188,0.28
18115,19,0.27
18117,61,0.28
18119,86,0.24
18121,38,0.37
18123,51,0.29
18125,25,0.35
18127,932,0.29
18129,120,0.38
18131,26,0.43
18133,301,0.36
18135,99,0.29
18137,145,0.32
18139,60,0.3
18141,2651,0.28
18143,137,0.33
18145,326,0.33
18147,75,0.3
18149,55,0.35
18151,145,0.36
18153,53,0.26
18155,19,0.45
18157,2569,0.28
18159,75,0.2
18161,37,0.41
18163,1495,0.27
18165,42,0.43
18167,726,0.27
18169,215,0.34
18171,18,0.35
18173,395,0.33
18175,81,0.36
18177,418,0.29
18179,122,0.39
18181,194,0.33
18183,136,0.39
19001,38,0.27
19003,13,0.28
19005,79,0.39
19007,35,0.31
19009,30,0.28
19011,122,0.37
19013,2569,0.3
19015,187,0.31
19017,360,0.31
19019,177,0.33
19021,164,0.26
19023,111,0.33
19025,46,0.42
19027,192,0.34
19029,80,0.26
19031,112,0.35
19033,323,0.34
