CountyNo,sum,count,average
197,391.13078767573694,1388,0.2817945156165252
199,80.31785883346683,249,0.3225616820621158
201,1825.3740508977794,8173,0.22334198591677223
203,32.71058545482784,89,0.36753466803177354
205,15.640983661840814,72,0.21723588419223352
207,14.284835024670175,39,0.3662778211453891
209,225.24391155196759,1016,0.22169676333855076
211,37.26287343648851,112,0.33270422711150455
213,13.130583983257393,65,0.20200898435780607
215,176.8232113998051,743,0.23798547967672287
217,44.322243643787196,222,0.19964974614318556
219,56.13549901252059,193,0.29085750783689424
220,6.608255166754831,16,0.41301594792217694
221,24.819388236247896,71,0.3495688483978577
223,52.5325977933107,239,0.21980166440715773
225,20.887733299481845,112,0.1864976187453736
227,69.34684785138167,285,0.24332227316274269
229,13.051116348348295,38,0.34345043021969196
231,18.72129470491947,74,0.25299046898539823
