metroNo,sum,count,avgScore
23460,11.193338918605718,45,0.24874086485790486
23540,411.06186168718,1734,0.23705989716677048
23580,69.70047046473529,252,0.2765891685108543
24020,122.96936915385051,311,0.3953999008162396
24140,25.716028062024787,122,0.21078711526249824
24220,104.93656207218734,336,0.3123111966434147
24300,77.90040236911412,256,0.304298446754352
24340,639.0926090236653,2482,0.2574909786557878
24500,19.0555542042774,88,0.21654038868497044
24540,164.25949646126855,683,0.24049706656115455
24580,286.9993559756525,900,0.31888817330628055
24660,323.7401986614018,1656,0.1954952890467402
24780,133.6561342551851,570,0.23448444606172825
24860,333.3973199398895,1173,0.28422618920706694
25020,2.129034870444504,7,0.3041478386349291
25060,91.04096827303184,334,0.2725777493204546
25180,86.4646225599467,383,0.2257561946734901
25260,35.16074107151192,231,0.1522110003095754
